instance,algorithm,heuristic,result,time_sec
pigeonhole.cnf,resolution,,TIMEOUT,40.0
random_10vars.cnf,resolution,,TIMEOUT,20.0
random_15vars.cnf,resolution,,TIMEOUT,20.0
random_20vars.cnf,resolution,,TIMEOUT,20.0
random_10vars.cnf,dp,,TIMEOUT,20.0
random_15vars.cnf,dp,,TIMEOUT,20.0
random_20vars.cnf,dp,,TIMEOUT,20.0
pigeonhole.cnf,dpll,random,UNSAT,1.08
random_10vars.cnf,dpll,random,SAT,0.89
random_15vars.cnf,dpll,random,SAT,0.88
random_20vars.cnf,dpll,random,SAT,0.88
random_35vars.cnf,dpll,random,UNSAT,0.95
random_50vars.cnf,dpll,random,SAT,0.97
pigeonhole.cnf,dpll,jw,UNSAT,0.88
random_10vars.cnf,dpll,jw,SAT,0.92
random_15vars.cnf,dpll,jw,SAT,0.87
random_20vars.cnf,dpll,jw,SAT,0.85
random_35vars.cnf,dpll,jw,UNSAT,0.88
random_50vars.cnf,dpll,jw,SAT,0.86
pigeonhole.cnf,dpll,mom,UNSAT,0.95
random_10vars.cnf,dpll,mom,SAT,0.84
random_15vars.cnf,dpll,mom,SAT,0.99
random_20vars.cnf,dpll,mom,SAT,0.89
random_35vars.cnf,dpll,mom,UNSAT,0.84
random_50vars.cnf,dpll,mom,SAT,0.92
